A
The Abyssinians
The Aces
Glen Adams
Bryan Art (formerly known as, Brah Yhan, or Brayhan Art)
Admiral T
Yasus Afari
African Brothers
The Aggrovators
Aidonia
Aisha
Bobby Aitken
Laurel Aitken
Alaine
Alpha Blondy
Alborosie
Dennis Alcapone
Alkaline
Alozade
Alpha & Omega
Roland Alphonso
Althea & Donna
Al Anderson
Lynford Anderson (a.k.a. "Andy Capp")
Bob Andy
Horace Andy
Mike Anthony
Patrick Andy
Anthony B
Apache Indian
De Apostle
Arise Roots
Marlon Asher
Aswad
Audio Active
B
Baba Brooks
Baby Cham
Baby Wayne
Ballyhoo!
Billy Boyo
Bad Brains
Admiral Bailey
Spanner Banner
Buju Banton
Burro Banton
Mega Banton
Pato Banton
Starkey Banton
Dave Barker
Lloyd Barnes
Aston Barrett
Carlton Barrett
Theophilus Beckford
Bedouin Soundclash
Beenie Man
Nayanka Bell
Lorna Bennett
Spragga Benz
Beshara
Big Joe
Big Mountain
Big Youth
Barry Biggs
Black Roots
The Black Seeds
Black Slate
The Blackstones
Black Uhuru
Everton Blender
Alpha Blondy
Blue Riddim Band
The Blues Busters
Yami Bolo
Usain Bolt
Bongo Herman
Barry Boom
Ken Boothe
Born Jamericans
Bounty Killer
Dennis Bovell (a.k.a. Blackbeard)
Andru Branch
Brick & Lace
Annette Brissett
Peter Broggs
Cedric Brooks
Mike Brooks
Barry Brown
Dennis Brown
Foxy Brown
Glen Brown
Junior Brown
Prezident Brown
U Brown
Buccaneer
Bumpin Uglies
Burning Spear
Bushman
Busy Signal
Junior Byles
C
The Cables
Susan Cadogan
Al Campbell
Cornell Campbell
Don Campbell
Icho Candy
Capleton
Captain Sinbad
Don Carlos
Carlton and The Shoes
Lacksley Castell
Chalice
The Chantells
Charlie Chaplin
Charly B
Lloyd Charmers
Tessanne Chin
Tony Chin
The Chosen Few
Christafari
Chronixx
Geoffrey Chung
Mikey Chung
Tami Chynn
Cidade Negra
The Cimarons
The Clarendonians
Augustus "Gussie" Clarke
Johnny Clarke
Jimmy Cliff
Cocoa Tea
Stranger Cole
Collie Buddz
Ansell Collins
Common Kings
The Congos
Hollie Cook
Joseph Cotton
Count Ossie
Tommy Cowan
Culcha Candela
Cultura Profética
Culture
Yvonne Curtis
D
Daab
Danny Red
Daddy Freddy
Daddy Screw
Tonton David
Da'Ville
Ronnie Davis
Nora Dean
Desmond Dekker
Del Arno Band
Junior Delgado
Deliman
Chaka Demus & Pliers
Dillinger
Phyllis Dillon
Dirty Heads
Dobby Dobson
Eric Donaldson
Dr Alimantado
Tyrone Downie
The Drastics
Mikey Dread
Don Drummond
Dry & Heavy
Dub FX
Dub Inc.
Dubmatix
Lucky Dube
Sly Dunbar
Errol Dunkley
The Dynamites
E
Earl Flute
Earl Sixteen
Echo Movement
Clint Eastwood
Clint Eastwood & General Saint
Easy Star All*Stars
Clancy Eccles
Jackie Edwards
Rupie Edwards
Eek-A-Mouse
Elephant Man
El General
Alton Ellis
Hortense Ellis
The Elovaters
Junior English
The Ethiopians
Etana
The Expanders
The Expendables
F
Jermaine Fagan
Tiken Jah Fakoly
Majek Fashek
Father Goose Music
Fathead
Benjamin Faya[1]
Clinton Fearon
Chuck Fenda
Robert Ffrench
Edi Fitzroy
Sharon Forrester
Fortunate Youth
Michael Franti & Spearhead
Dean Fraser
Lutan Fyah
Fantan Mojah
G
Boris Gardiner
Gaudi
The Gaylads
General Echo
General Levy
General Trees
Gentleman
Sophia George
Giant Panda Guerilla Dub Squad
The Gladiators
Deborahe Glasgow
Edson Gomes
Vin Gordon
Eddy Grant
Rudy Grant
Owen Gray
The Green
Winston Grennan
Greyhound
Marcia Griffiths
Winston Groovy
Groundation
Gyptian
H
Haha
Half Pint
Audrey Hall
Beres Hammond
Derrick Harriott
Josh Heinrichs
The Heptones
Herbs
Lennie Hibbert
Joe Higgs
Joseph Hill
Justin Hinds
The Hippy Boys
Errol Holt
John Holt
Honey Boy
Keith Hudson
Peter Hunnigale
Clive Hunt
Sheila Hylton
I
Ijahman Levi
Inner Circle
I-Octane
I-Roy
Ismaël Isaac
I-Threes
The In Crowd
Iration
Irie Maffia
Tippa Irie
Welton Irie
Devon Irons
Gregory Isaacs
Israel Vibration
The Itals
I-Wayne
Iya Terra
J
Jah Cure
Jah Lion a.k.a. Jah Lloyd
Jah Mason
Jah Roots
Jah Shaka
Jah Stitch
Jah Woosh
Jah Warrior
David Jahson
Winston Jarrett
J.O.E.
John Brown's Body
Lyndon John X
Anthony Johnson
Linton Kwesi Johnson
Vivian Jones
Judge Dread
J Boog
K
K2R Riddim
Katchafire
Kalaeloa
Israel Kamakawiwoʻole
Janet Kay
Ini Kamoze
Junior Kelly
Pat Kelly
Kiddus I
Diana King
Jigsy King
King Django
King Sounds
King Stitt
